# Some static functions have the same name, ignore them
0x430370,obj_fd
0x430378,obj_set_fd
0x430380,hdr_symptr
0x43038C,procedure_lnlow
0x4303D0,procedure_lnhigh
0x4303FC,obj_arch
0x430404,obj_delta_class
0x43040C,obj_set_delta_class
0x430414,obj_delta_class_no
0x43041C,obj_set_delta_class_no
0x430424,obj_delta_instance
0x43042C,obj_set_delta_instance
0x430434,obj_delta_instance_no
0x43043C,obj_set_delta_instance_no
0x430444,obj_delta_reloc
0x43044C,obj_set_delta_reloc
0x430454,obj_delta_reloc_no
0x43045C,obj_set_delta_reloc_no
0x430464,obj_delta_rel_off
0x430478,obj_delta_rel_info
0x43048C,obj_delta_sym
0x430494,obj_set_delta_sym
0x43049C,obj_delta_sym_no
0x4304A4,obj_set_delta_sym_no
0x4304AC,obj_delta_classsym
0x4304B4,obj_set_delta_classsym
0x4304BC,obj_delta_classsym_no
0x4304C4,obj_set_delta_classsym_no
0x4304CC,obj_set_symlib
0x4304D4,obj_symlib_num
0x430518,obj_rld_text_resolve_addr
0x430520,obj_set_rld_text_resolve_addr
0x430530,warning
0x4305B0,swap_filehdr
0x430694,swap_aouthdr
0x43090C,swap_scnhdr
0x430A74,swap_libscn
0x430BE0,swap_hdr
0x431010,swap_fd
0x4315F8,swap_fi
0x43172C,swap_sym
0x4319B0,swap_ext
0x431D98,swap_pd
0x432014,swap_dn
0x432160,swap_rpd
0x432320,swap_opt
0x4325A0,swap_aux
0x4327FC,swap_reloc
0x432A14,swap_ranlib
0x432A90,swap_gpt
0x432B10,swap_dynamic
0x432BA0,swap_rel_dyn
0x432C04,swap_reginfo
0x432D1C,swap_dynsym
0x432DC0,swap_conflict
0x432DF8,swap_got
0x432E30,swap_liblist
0x432F18,swap_msym
0x432F7C,swap_ehdr
0x433104,swap_phdr
0x43326C,swap_shdr
0x433430,procedure_symbol
0x433578,procedure_ppd
0x433604,procedure_address
0x433730,procedure_iline
0x433804,procedure_lnLow
0x4338D8,procedure_lnHigh
0x4339AC,procedure_cbLineOffset
0x433A80,address_to_procedure
0x433D48,foreach_obj_procedure
0x433E10,foreach_procedure
0x433F08,newprocedure
0x433FA0,symbol_to_file
0x4340D4,type_to_file
0x4341D0,procedure_to_file
0x4342CC,file_pfd
0x4342EC,file_symbol
0x434340,file_lineindex
0x43438C,file_cline
0x4343C0,file_cbLineOffset
0x4343F4,file_lang
0x43442C,file_glevel
0x434464,file_symbol_count
0x434498,file_type_base
0x4344D4,file_string_base
0x434510,foreach_rfd
0x4346BC,st_file_name
0x434778,address_to_file
0x4347E0,objList_add
0x4348BC,objList_change
0x434AF8,foreach_obj
0x434B84,forall_previous_objs
0x434C94,list_last
0x434CB8,foreach_sublist
0x434D50,foreach_section
0x434E88,match_addr
0x434F94,address_to_section
0x434FEC,section_type
0x43526C,section_raw
0x435294,section_nrel
0x435358,section_rel
0x43537C,find_section_byname
0x4354F8,find_section_bytype
0x4355A0,check_obj_sections
0x435614,obj_section_type
0x435670,st_error
0x435730,spoof_section
0x436DC8,elf_spoof_coffhdrs
0x436FFC,elf_nreloc
0x437178,obj_raw_bits
0x43721C,obj_section_reloc_type
0x4375B0,get_section_num
0x437610,ldroundup
0x437654,obj_update_dynamic
0x43795C,write_section
0x437C8C,obj_vtofo
0x437E8C,obj_vtop
0x438224,obj_rewrite
0x438F20,update_addresses
0x4390A4,compare_coff_sections
0x4390E8,compare_elf_sections
0x4390F0,obj_write
0x439F1C,obj_extend_text_segment
0x43A24C,obj_extend_bss_segment
0x43A418,obj_set_section_size
0x43A4E8,obj_map_dynamic
0x43A938,obj_gpvalue
0x43AA64,obj_add_global_abs_symbol
0x43AC38,obj_end
0x43AE20,error
0x43AEC0,symbol_class
0x43AF6C,symbol_type
0x43B00C,symbol_value
0x43B23C,symbol_iaux
0x43B380,file_symbol_iaux
0x43B490,symbol_isym
0x43B5D4,file_symbol_isym
0x43B6E4,symbol_value_isym
0x43B7A4,symbol_value_iaux
0x43B864,end_symbol
0x43B918,file_end_symbol
0x43B9D8,procedure_end_symbol
0x43BA44,file_procedure_end_symbol
0x43BAB8,real_address_to_symbol
0x43BC7C,address_to_symbol
0x43BCBC,symbol_to_outer_scope_symbol
0x43BEB0,symbol_name
0x43C02C,user_symbol_alloc
0x43C07C,user_symbol_free
0x43C0A4,user_type_alloc
0x43C0EC,newsymbol
0x43C384,modify_user_symbol
0x43C5A4,find_user_symbol
0x43C670,file_symbol_name
0x43C7D8,symbol_check_enum
0x43C8AC,scope_name_search
0x43CCB0,scope_name_to_sym
0x43D070,file_scope_name_search
0x43D0F4,search_cobol_main
0x43D160,search_procedures
0x43D2EC,search_files
0x43D46C,st_find_symbol
0x43D5E0,case_strcmp
0x43D6BC,case_streq
0x43D794,obj_lookup
0x43D9B4,search_externals
0x43DBB0,set_paux
0x43DBF8,aux_isym
0x43DC94,file_aux_isym
0x43DD14,AUX
0x43DDCC,get_rndx
0x43DFA8,get_aux
0x43DFE8,get_range
0x43E1C8,set_bt
0x43E3F8,next_tq
0x43E850,type_deref
0x43E900,panic
0x43E990,st_setchdr
0x43E9A8,st_currentpchdr
0x43E9C0,st_free
0x43ECA4,st_extstradd
0x43EDC0,st_str_extiss
0x43EE00,st_idn_dn
0x43EF18,st_idn_rndx
0x43F03C,st_rndx_idn
0x43F14C,st_setidn
0x43F1F4,st_pext_dn
0x43F29C,st_iextmax
0x43F2B8,st_setmsgname
0x43F360,st_currentifd
0x43F3B0,st_ifdmax
0x43F3CC,st_setfd
0x43F43C,st_fdadd
0x43FADC,st_auxadd
0x43FC08,st_pdadd
0x43FD94,st_lineadd
0x43FEBC,st_stradd
0x440030,st_non_gp
0x44005C,st_set_non_gp
0x440070,st_paux_ifd_iaux
0x440160,st_pline_ifd_iline
0x440250,st_str_iss
0x440300,st_malloc
0x440450,st_symadd
0x4406E8,st_ifd_pcfd
0x440774,st_pcfd_ifd
0x44081C,st_psym_ifd_isym
0x440944,st_paux_iaux
