category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x40AE14,None,.L0040AE14,@branchlabel,None,None,None,0x4,0xAE14,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AE1C,None,.L0040AE1C,@branchlabel,None,None,None,0x4,0xAE1C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AE24,None,.L0040AE24,@branchlabel,None,None,None,0x4,0xAE24,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AE34,None,func_0040AE34,@function,None,None,0x228,0x228,0xAE34,.text,True,False,True,False,1,None,False,True,False,True,None,1416,False,False
symbol,0x40AE8C,None,.L0040AE8C,@branchlabel,None,None,None,0x4,0xAE8C,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40AF0C,None,.L0040AF0C,@branchlabel,None,None,None,0x4,0xAF0C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AF88,None,.L0040AF88,@branchlabel,None,None,None,0x4,0xAF88,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B004,None,.L0040B004,@branchlabel,None,None,None,0x4,0xB004,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B03C,None,.L0040B03C,@branchlabel,None,None,None,0x4,0xB03C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B044,None,.L0040B044,@branchlabel,None,None,None,0x4,0xB044,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B04C,None,.L0040B04C,@branchlabel,None,None,None,0x4,0xB04C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B05C,None,func_0040B05C,@function,None,None,0x48C,0x48C,0xB05C,.text,True,False,True,False,1,None,False,True,False,True,None,1440,False,False
symbol,0x40B0B4,None,.L0040B0B4,@branchlabel,None,None,None,0x4,0xB0B4,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40B134,None,.L0040B134,@branchlabel,None,None,None,0x4,0xB134,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B1B0,None,.L0040B1B0,@branchlabel,None,None,None,0x4,0xB1B0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B23C,None,.L0040B23C,@branchlabel,None,None,None,0x4,0xB23C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B25C,None,.L0040B25C,@branchlabel,None,None,None,0x4,0xB25C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B2EC,None,.L0040B2EC,@branchlabel,None,None,None,0x4,0xB2EC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B3B0,None,.L0040B3B0,@branchlabel,None,None,None,0x4,0xB3B0,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40B3E4,None,.L0040B3E4,@branchlabel,None,None,None,0x4,0xB3E4,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40B414,None,.L0040B414,@branchlabel,None,None,None,0x4,0xB414,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B434,None,.L0040B434,@branchlabel,None,None,None,0x4,0xB434,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B45C,None,.L0040B45C,@branchlabel,None,None,None,0x4,0xB45C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B4B0,None,.L0040B4B0,@branchlabel,None,None,None,0x4,0xB4B0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B4C8,None,.L0040B4C8,@branchlabel,None,None,None,0x4,0xB4C8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B4D0,None,.L0040B4D0,@branchlabel,None,None,None,0x4,0xB4D0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B4D8,None,.L0040B4D8,@branchlabel,None,None,None,0x4,0xB4D8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B4E8,None,func_0040B4E8,@function,None,None,0x298,0x298,0xB4E8,.text,True,False,True,False,1,None,False,True,False,True,None,1464,False,False
symbol,0x40B534,None,.L0040B534,@branchlabel,None,None,None,0x4,0xB534,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B5B4,None,.L0040B5B4,@branchlabel,None,None,None,0x4,0xB5B4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B630,None,.L0040B630,@branchlabel,None,None,None,0x4,0xB630,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B6AC,None,.L0040B6AC,@branchlabel,None,None,None,0x4,0xB6AC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B748,None,.L0040B748,@branchlabel,None,None,None,0x4,0xB748,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
